name,beds,baths,price,sqft,$/sqft,address
"The Landmark, Premium",4,4,$1489.00,1370,$1.09,"4500 College Ave, College Park, MD 20740"
"The Hub, Murphy A         ",0,1,$1959.00,369,$5.31,"4206 Knox Road, College Park, MD 20740"
"The Hub, Studio B         ",0,1,$1989.00,418,$4.76,"4206 Knox Road, College Park, MD 20740"
"The Hub, 2X1 A",2,1,$1450.00,648,$2.24,"4206 Knox Road, College Park, MD 20740"
"The Hub, 2X2 A",2,2,$1145.00,1030,$1.11,"4206 Knox Road, College Park, MD 20740"
"The Hub, 3X2 B",3,2,$1575.00,1144,$1.38,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X2 B",4,2,$1340.00,1192,$1.12,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X2 C",4,2,$1390.00,1235,$1.13,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X2 D",4,2,$1360.00,1221,$1.11,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3 A",4,3,$1345.00,1147,$1.17,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3 B",4,3,$1395.00,1192,$1.17,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3.5 A",4,3.5,$1635.00,1614,$1.01,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3.5 B",4,3.5,$1495.00,1670,$0.90,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3.5 C",4,3.5,$1635.00,1676,$0.98,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X3.5 D",4,3.5,$1650.00,1800,$0.92,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4 A",4,4,$1425.00,1148,$1.24,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4 B",4,4,$1475.00,1279,$1.15,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4 TH A",4,4,$1460.00,1713,$0.85,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 A",4,4.5,$1545.00,1508,$1.02,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 B",4,4.5,$1545.00,1573,$0.98,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 D",4,4.5,$1630.00,1674,$0.97,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 E",4,4.5,$1635.00,1976,$0.83,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 F",4,4.5,$1525.00,1739,$0.88,"4206 Knox Road, College Park, MD 20740"
"The Hub, 4X4.5 G",4,4.5,$1635.00,1982,$0.82,"4206 Knox Road, College Park, MD 20740"
"The Hub, 5X4 TH A",5,4,$1450.00,1864,$0.78,"4206 Knox Road, College Park, MD 20740"
Tempo S1,0,1,$1815.00,390,$4.65,"8430 Baltimore Avenue, College Park, MD 20740"
